Price_per_perch,Road,City,School,Hospital,Bus,Train,Market
5.369583103,822,2418.528339,6068.992136,3406.546695,4423.405773,9772.185127,2984.664308
8.469995082,294,1758.882296,1527.786528,1442.508522,1569.090556,2989.641615,1799.913163
9.788229274,140,1136.02766,1287.497138,1375.366752,2329.83929,1497.922062,3438.828416
6.205906655,366,1246.659781,5031.964796,5453.691154,4318.584745,10500.07698,2839.280523
6.60478679,274,1572.537775,5341.923532,5783.292718,4898.369623,11060.82269,3496.392918
9.361843753,181,703.3702142,4358.254856,3163.893948,2703.041248,8516.924462,1252.093134
7.024297057,750,1039.248508,4003.285626,3932.643724,2702.249152,8828.276482,1131.952464
9.386661681,228,236.0417765,2236.00148,1730.593807,1809.306752,4098.715118,824.4188713
10.03637526,260,479.6639985,1557.979509,1839.573266,1795.046403,7112.365586,942.0392065
8.866090067,190,1766.76253,3624.211896,603.4963604,3185.167053,4038.163092,1625.454014
8.996915218,332,997.2469857,1599.112711,1355.656819,1665.223471,5768.080286,954.2823965
9.913510179,170,990.9278476,1912.820934,1726.54294,1331.067491,4976.909342,985.8392629
6.618037791,310,1397.841378,2159.907284,2549.573156,2424.520505,8070.51972,1776.936863
9.508027214,539,520.1254896,3300.00877,3582.353044,1722.552648,7825.900422,188.7434039
5.327830903,500,4153.05321,7136.49895,1039.483684,4981.297609,6891.67306,4736.930748
11.69613021,160,204.9066038,2310.581897,2395.5736,171.7750492,6117.529209,287.1096924
5.988803342,1000,3819.530613,7277.690249,1343.311611,5146.652794,8112.803104,4487.691607
8.045445565,323,1481.056889,2340.394854,2780.727526,2428.200615,8280.672052,1888.440385
8.931492219,120,944.5245527,1494.705493,1767.096566,962.736426,6711.794494,642.7636162
9.049952103,390,1094.735075,3218.958092,3569.236922,2088.448704,8268.925654,669.7546372
8.568261855,126,1483.611454,5128.260926,5577.125294,4864.498156,10986.56518,3546.793423
5.382478911,423,5917.428219,9347.487927,3202.718397,7199.964693,9095.17391,6589.162465
9.194950443,350,915.7929886,3659.247454,3966.584148,2378.933032,8529.164225,822.233419
6.565056835,737,1467.943652,4412.871567,4159.238304,3197.15734,9324.709794,1628.512492
9.801817455,150,339.5012362,3524.946695,3949.233267,3042.666198,9171.980093,1824.48266
10.46097939,111,349.7665934,1405.350788,1686.933384,1641.55451,7016.161075,795.124455
8.391550856,550,872.4548185,1037.456609,805.930496,1082.980282,5829.604525,553.5773795
6.28492587,550,3986.955193,7261.638099,1097.322217,5107.271658,7606.087811,4625.210234
9.222660109,220,416.792899,1001.152679,810.771078,583.7752183,5493.806315,633.6212037
9.324341197,300,314.797166,1882.083788,1133.991242,1656.426107,4516.971444,503.2563156
8.755144018,230,1250.833074,4147.795375,4277.44263,3013.858804,9170.555452,1463.792598
8.758808077,100,1383.549678,1922.442236,1514.258914,1809.717208,3517.209096,1260.557941
5.716364554,417,4217.526919,7167.559335,1103.598019,5028.722431,6863.831291,4798.65263
5.30914951,370,5435.356855,8374.135775,2416.435103,6438.159606,7868.227414,6064.708491
4.570153362,979,5937.028949,8131.65225,2835.322118,6750.789726,7485.176629,6534.904063
9.404267686,500,1061.997345,2332.959535,2212.086661,1097.673443,5084.201934,1157.941656
6.902611491,382,936.0409885,2361.86875,1258.204564,1807.478018,1657.355525,2763.593316
9.613378602,340,632.9082371,1383.285083,1741.674161,1641.731171,7290.379478,954.0840812
7.369884784,331,1739.075093,3433.406534,3236.014796,2253.824208,4128.148697,2307.47751
9.614451653,220,891.7705291,2544.542213,917.2607699,2051.791656,1388.481837,3058.967927
11.59561607,578,553.8005016,2375.895763,1793.608391,1967.213291,3939.318044,1011.453163
8.222759367,350,1509.594998,1160.008072,1797.892206,1648.963338,1714.979503,3040.813094
8.415989193,350,843.1047597,3397.017126,3728.799719,2097.375211,8257.636979,560.5412351
8.49324914,220,632.4005675,3187.850524,3615.581718,2824.27585,8908.739392,1750.982127
7.604679373,250,1732.586064,1555.940905,2003.230948,1759.020608,7644.029226,1778.995278
6.194199733,350,1889.298469,1801.824481,2137.812789,3494.60365,2521.949465,3125.072802
7.892824359,171,1292.798026,2596.322849,3044.647543,2748.731911,8600.330216,2101.739045
8.732172584,183,525.7675276,2042.032221,2376.927622,3610.371679,2587.177664,1893.037584
9.180008398,320,784.5888643,3727.068944,3818.488046,2361.99033,8488.672551,790.920113
8.014984178,311,1652.550461,1970.706052,2416.558509,2228.153225,8227.877524,1867.924886
9.053108203,213,1700.151647,1829.932736,2234.92415,4294.908327,2265.921093,3966.312336
9.314855072,290,961.4351357,2607.197554,989.3700339,2107.629367,1462.953509,3035.189621
7.469905898,405,2014.112495,2100.179692,2497.285712,3936.232056,2627.460551,3679.888936
7.891870421,695,1232.828677,4246.922622,3985.73518,2962.230209,9078.550478,1390.813926
11.69668982,110,528.228828,2402.854085,2578.601089,477.3387092,6634.724893,239.1645866
